CMDLINE /home/shuki/anaconda3/envs/torch/bin/python3.8 triplets_gui.py
MEM 1086.171875 1616577531.3001
MEM 1086.171875 1616577531.4004
MEM 1086.171875 1616577531.5007
MEM 1086.171875 1616577531.6010
MEM 1086.171875 1616577531.7013
MEM 1086.171875 1616577531.8032
MEM 1086.171875 1616577531.9036
MEM 1086.171875 1616577532.0038
MEM 1086.171875 1616577532.1041
MEM 1086.171875 1616577532.2044
MEM 1086.171875 1616577532.3050
MEM 1086.171875 1616577532.4055
MEM 1086.171875 1616577532.5058
MEM 1086.171875 1616577532.6061
MEM 1086.171875 1616577532.7064
MEM 1086.171875 1616577532.8067
MEM 1086.171875 1616577532.9070
MEM 1086.171875 1616577533.0072
MEM 1086.171875 1616577533.1077
MEM 1086.171875 1616577533.2079
MEM 1086.171875 1616577533.3081
MEM 1086.171875 1616577533.4087
MEM 1086.171875 1616577533.5090
MEM 1086.171875 1616577533.6092
MEM 1086.171875 1616577533.7095
MEM 1086.171875 1616577533.8097
MEM 1086.171875 1616577533.9100
MEM 1086.171875 1616577534.0104
MEM 1086.171875 1616577534.1108
MEM 1086.171875 1616577534.2110
MEM 1086.171875 1616577534.3112
MEM 1086.171875 1616577534.4115
MEM 1086.171875 1616577534.5118
MEM 1086.171875 1616577534.6122
MEM 1086.171875 1616577534.7125
MEM 1086.171875 1616577534.8128
MEM 1086.171875 1616577534.9131
MEM 1086.171875 1616577535.0134
MEM 1086.171875 1616577535.1138
MEM 1086.171875 1616577535.2140
MEM 1086.171875 1616577535.3144
MEM 1086.171875 1616577535.4150
MEM 1086.171875 1616577535.5153
MEM 1086.171875 1616577535.6159
MEM 1086.171875 1616577535.7165
MEM 1086.171875 1616577535.8167
MEM 1086.171875 1616577535.9169
MEM 1086.171875 1616577536.0172
MEM 1086.171875 1616577536.1175
MEM 1086.171875 1616577536.2177
MEM 1086.171875 1616577536.3180
MEM 1086.171875 1616577536.4184
MEM 1086.171875 1616577536.5186
MEM 1086.171875 1616577536.6188
MEM 1086.171875 1616577536.7191
MEM 1086.171875 1616577536.8195
MEM 1086.171875 1616577536.9199
MEM 1086.171875 1616577537.0202
MEM 1086.171875 1616577537.1205
MEM 1086.171875 1616577537.2209
MEM 1086.171875 1616577537.3211
MEM 1086.171875 1616577537.4214
MEM 1086.171875 1616577537.5217
MEM 1086.171875 1616577537.6219
MEM 1086.171875 1616577537.7222
MEM 1086.171875 1616577537.8224
MEM 1086.171875 1616577537.9226
MEM 1086.171875 1616577538.0229
MEM 1086.171875 1616577538.1231
MEM 1086.171875 1616577538.2233
MEM 1086.171875 1616577538.3236
MEM 1086.171875 1616577538.4238
MEM 1086.171875 1616577538.5240
MEM 1086.171875 1616577538.6245
MEM 1086.171875 1616577538.7247
MEM 1086.171875 1616577538.8250
MEM 1086.171875 1616577538.9252
MEM 1086.171875 1616577539.0255
MEM 1086.171875 1616577539.1257
MEM 1086.171875 1616577539.2260
MEM 1086.171875 1616577539.3266
MEM 1086.171875 1616577539.4268
MEM 1086.171875 1616577539.5271
MEM 1086.171875 1616577539.6273
MEM 1086.171875 1616577539.7276
MEM 1086.171875 1616577539.8282
MEM 1086.171875 1616577539.9285
MEM 1086.171875 1616577540.0287
MEM 1086.171875 1616577540.1290
MEM 1086.171875 1616577540.2293
MEM 1086.171875 1616577540.3295
MEM 1086.171875 1616577540.4297
MEM 1086.171875 1616577540.5300
MEM 1086.171875 1616577540.6303
MEM 1086.171875 1616577540.7305
MEM 1086.171875 1616577540.8308
MEM 1086.171875 1616577540.9311
MEM 1086.171875 1616577541.0313
MEM 1086.171875 1616577541.1316
MEM 1086.171875 1616577541.2318
MEM 1086.171875 1616577541.3321
MEM 1086.171875 1616577541.4324
MEM 1086.171875 1616577541.5327
MEM 1086.171875 1616577541.6329
MEM 1086.171875 1616577541.7333
MEM 1086.171875 1616577541.8335
MEM 1086.171875 1616577541.9339
MEM 1086.171875 1616577542.0343
MEM 1086.171875 1616577542.1346
MEM 1086.171875 1616577542.2349
MEM 1086.171875 1616577542.3351
MEM 1086.171875 1616577542.4353
MEM 1086.171875 1616577542.5356
MEM 1086.171875 1616577542.6358
MEM 1086.171875 1616577542.7361
MEM 1086.171875 1616577542.8363
MEM 1086.171875 1616577542.9366
MEM 1086.171875 1616577543.0369
MEM 1086.171875 1616577543.1371
MEM 1086.171875 1616577543.2376
MEM 1086.171875 1616577543.3379
MEM 1086.171875 1616577543.4382
MEM 1086.171875 1616577543.5386
MEM 1086.171875 1616577543.6389
MEM 1086.171875 1616577543.7392
MEM 1086.171875 1616577543.8394
MEM 1086.171875 1616577543.9398
MEM 1086.171875 1616577544.0401
MEM 1086.171875 1616577544.1404
MEM 1086.171875 1616577544.2408
MEM 1086.171875 1616577544.3411
MEM 1086.171875 1616577544.4414
MEM 1086.171875 1616577544.5417
MEM 1086.171875 1616577544.6421
MEM 1086.171875 1616577544.7424
MEM 1086.171875 1616577544.8428
MEM 1086.171875 1616577544.9430
MEM 1086.171875 1616577545.0433
MEM 1086.171875 1616577545.1436
MEM 1086.171875 1616577545.2438
MEM 1086.171875 1616577545.3442
MEM 1086.171875 1616577545.4446
MEM 1086.171875 1616577545.5449
MEM 1086.171875 1616577545.6454
MEM 1086.171875 1616577545.7456
MEM 1086.171875 1616577545.8459
MEM 1086.171875 1616577545.9464
MEM 1086.171875 1616577546.0467
MEM 1086.171875 1616577546.1470
MEM 1086.171875 1616577546.2475
MEM 1086.171875 1616577546.3477
MEM 1086.171875 1616577546.4480
MEM 1086.171875 1616577546.5482
MEM 1086.171875 1616577546.6485
MEM 1086.171875 1616577546.7488
MEM 1086.171875 1616577546.8490
MEM 1086.171875 1616577546.9493
MEM 1086.171875 1616577547.0495
MEM 1086.171875 1616577547.1498
MEM 1086.171875 1616577547.2501
MEM 1086.171875 1616577547.3505
MEM 1086.171875 1616577547.4507
MEM 1086.171875 1616577547.5511
MEM 1086.171875 1616577547.6514
MEM 1086.171875 1616577547.7516
MEM 1086.171875 1616577547.8520
MEM 1086.171875 1616577547.9523
MEM 1086.171875 1616577548.0526
MEM 1086.171875 1616577548.1531
MEM 1086.171875 1616577548.2535
MEM 1086.171875 1616577548.3538
MEM 1086.171875 1616577548.4540
MEM 1086.171875 1616577548.5545
MEM 1086.171875 1616577548.6550
MEM 1086.171875 1616577548.7552
MEM 1086.171875 1616577548.8558
MEM 1086.171875 1616577548.9563
MEM 1098.273438 1616577549.0566
MEM 1127.921875 1616577549.1569
MEM 1156.796875 1616577549.2571
MEM 1186.187500 1616577549.3574
MEM 1216.609375 1616577549.4577
MEM 1246.515625 1616577549.5579
MEM 1286.726562 1616577549.6582
MEM 1423.808594 1616577549.7585
MEM 1745.941406 1616577549.8588
MEM 2019.140625 1616577549.9592
MEM 2294.496094 1616577550.0594
MEM 2581.960938 1616577550.1597
MEM 2785.812500 1616577550.2600
MEM 2785.812500 1616577550.3602
